ch	pt	mean	 std	median	outliers	mean_w/o_out	 std_w/o_out	    samples	#104	#105	#106	#107	#108	#109	#110	#111	#112	#113	#114	#115	#116	#117	#118	#119	#120	#121	#122	#123	#124	#125	#126	#127	#128	#129	#130	#131	#132	#133	#134	#135	#136	#137	#138	#139	#140	#141	#142	#143	#144	#145	#146	#147	#148	#149	#150	#151	#152	#153	#154	#155	#156	#157	#158	#159	#160	#161	#162	#163	#164	#165	#166	#167	#168	#169	#170	#171	#172	#173	#174	#175	#176	#177	#178	#179	#180	#181	#182	#183	#184	#185	#186	#187	#188	#189	#190	#191	#192	#193
 3	 7	 136.70	   1.54	 137.0	   3	 136.70	  1.52	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	  20	  80	  69	 276	 242	 218	  64	  19	   9	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 4	 0	 145.74	   2.08	 146.0	  29	 145.81	  1.87	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   2	   1	  18	  61	  27	 145	 176	 252	 108	 127	  53	  22	   5	   0	   1	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 4	 1	 145.64	   1.73	 146.0	  16	 145.71	  1.62	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   2	  12	  34	  19	 186	 186	 296	 116	  96	  44	   7	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 4	 2	 145.59	   1.68	 146.0	  15	 145.66	  1.59	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	  13	  41	  18	 170	 200	 314	 101	 101	  35	   5	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 4	 3	 145.78	   1.61	 146.0	  12	 145.84	  1.54	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  12	  26	  12	 151	 198	 328	 120	 104	  42	   7	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 4	 4	 145.74	   1.53	 146.0	   6	 145.77	  1.49	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   5	  22	  22	 151	 214	 325	 117	 109	  30	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 4	 5	 145.60	   1.57	 146.0	   4	 145.62	  1.55	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   3	  40	  23	 165	 212	 326	 103	  94	  29	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 4	 6	 145.77	   1.54	 146.0	   8	 145.79	  1.48	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   5	  18	  20	 146	 232	 326	 106	  99	  40	   5	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 4	 7	 145.82	   1.53	 146.0	   4	 145.84	  1.50	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   4	  20	  15	 158	 194	 337	 118	 112	  36	   6	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 0	 134.62	   2.04	 134.0	   0	 134.62	  2.04	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   1	   3	  15	  31	  83	 180	 218	  99	 185	 104	  50	  26	   4	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
