ch	pt	fine_thr	a_fit	b_fit
 7	 4	 6	215.727	1.121
 7	 4	 7	214.667	1.158
 7	 5	 0	221.767	0.312
 7	 5	 1	220.645	0.297
 7	 5	 2	219.628	1.142
 7	 5	 3	218.738	1.166
 7	 5	 4	217.774	1.156
 7	 5	 5	216.777	1.086
 7	 5	 6	215.730	1.173
 7	 5	 7	214.651	1.125
 7	 6	 0	221.762	0.310
 7	 6	 1	220.680	0.317
 7	 6	 2	219.644	1.122
 7	 6	 3	218.615	1.014
 7	 6	 4	217.688	1.110
 7	 6	 5	216.627	1.111
 7	 6	 6	215.712	1.106
 7	 6	 7	214.631	1.235
 7	 7	 0	221.742	0.295
 7	 7	 1	220.643	0.293
 7	 7	 2	219.706	1.038
 7	 7	 3	218.674	1.007
 7	 7	 4	217.713	1.005
 7	 7	 5	216.650	1.000
 7	 7	 6	215.716	1.126
 7	 7	 7	214.611	1.036
 8	 0	 0	223.802	0.474
 8	 0	 1	222.674	0.445
 8	 0	 2	221.704	0.468
 8	 0	 3	220.563	0.955
 8	 0	 4	219.682	1.017
 8	 0	 5	218.614	1.024
 8	 0	 6	217.597	0.995
 8	 0	 7	216.537	0.981
 8	 1	 0	223.807	0.394
 8	 1	 1	222.619	0.418
 8	 1	 2	221.659	1.061
 8	 1	 3	220.517	1.078
 8	 1	 4	219.667	1.066
 8	 1	 5	218.577	1.055
 8	 1	 6	217.643	1.105
 8	 1	 7	216.532	1.079
 8	 2	 0	223.783	0.412
 8	 2	 1	222.585	0.407
 8	 2	 2	221.628	1.302
 8	 2	 3	220.550	1.332
 8	 2	 4	219.624	1.333
 8	 2	 5	218.543	1.241
 8	 2	 6	217.574	1.244
 8	 2	 7	216.494	1.267
 8	 3	 0	223.772	0.401
 8	 3	 1	222.672	0.399
 8	 3	 2	221.614	1.432
 8	 3	 3	220.538	1.411
 8	 3	 4	219.673	1.306
 8	 3	 5	218.589	1.421
 8	 3	 6	217.597	1.470
 8	 3	 7	216.559	1.475
 8	 4	 0	223.764	0.448
 8	 4	 1	222.627	0.470
 8	 4	 2	221.676	1.553
 8	 4	 3	220.507	1.458
 8	 4	 4	219.692	1.481
 8	 4	 5	218.546	1.451
 8	 4	 6	217.624	1.470
 8	 4	 7	216.461	1.573
 8	 5	 0	223.706	0.449
 8	 5	 1	222.625	0.507
 8	 5	 2	221.626	1.644
 8	 5	 3	220.492	1.588
 8	 5	 4	219.619	1.623
 8	 5	 5	218.513	1.518
 8	 5	 6	217.537	1.461
 8	 5	 7	216.491	1.524
 8	 6	 0	223.789	0.527
 8	 6	 1	222.596	0.532
 8	 6	 2	221.651	1.678
 8	 6	 3	220.590	1.572
 8	 6	 4	219.680	1.551
 8	 6	 5	218.522	1.521
 8	 6	 6	217.464	1.555
 8	 6	 7	216.462	1.646
 8	 7	 0	223.717	0.538
 8	 7	 1	222.610	0.539
 8	 7	 2	221.659	1.517
 8	 7	 3	220.532	1.487
 8	 7	 4	219.656	1.552
 8	 7	 5	218.616	1.523
 8	 7	 6	217.601	1.379
 8	 7	 7	216.479	1.593
 9	 0	 0	215.686	0.431
 9	 0	 1	214.575	0.403
 9	 0	 2	213.639	0.382
 9	 0	 3	212.602	0.755
 9	 0	 4	211.684	0.840
 9	 0	 5	210.547	0.849
 9	 0	 6	209.551	0.783
 9	 0	 7	208.395	0.800
 9	 1	 0	215.678	0.390
 9	 1	 1	214.499	0.382
 9	 1	 2	213.655	0.900
 9	 1	 3	212.616	0.863
 9	 1	 4	211.637	0.908
 9	 1	 5	210.521	0.838
 9	 1	 6	209.539	0.873
 9	 1	 7	208.427	0.897
 9	 2	 0	215.606	0.381
 9	 2	 1	214.486	0.394
 9	 2	 2	213.678	0.961
 9	 2	 3	212.621	0.981
 9	 2	 4	211.617	0.944
 9	 2	 5	210.432	1.016
 9	 2	 6	209.522	0.928
 9	 2	 7	208.501	0.986
 9	 3	 0	215.595	0.417
 9	 3	 1	214.539	0.393
 9	 3	 2	213.623	1.081
 9	 3	 3	212.597	1.172
 9	 3	 4	211.601	1.138
 9	 3	 5	210.454	1.096
 9	 3	 6	209.565	1.076
 9	 3	 7	208.469	1.161
 9	 4	 0	215.588	0.423
 9	 4	 1	214.541	0.418
 9	 4	 2	213.670	1.167
 9	 4	 3	212.546	1.238
 9	 4	 4	211.619	1.163
 9	 4	 5	210.547	1.140
 9	 4	 6	209.580	1.180
 9	 4	 7	208.428	1.256
 9	 5	 0	215.554	0.425
 9	 5	 1	214.526	0.450
 9	 5	 2	213.664	1.256
 9	 5	 3	212.556	1.249
 9	 5	 4	211.610	1.332
 9	 5	 5	210.461	1.234
 9	 5	 6	209.563	1.256
 9	 5	 7	208.392	1.213
 9	 6	 0	215.596	0.484
 9	 6	 1	214.530	0.473
 9	 6	 2	213.651	1.191
 9	 6	 3	212.598	1.114
 9	 6	 4	211.604	1.184
 9	 6	 5	210.455	1.109
 9	 6	 6	209.482	1.229
 9	 6	 7	208.485	1.259
 9	 7	 0	215.590	0.539
 9	 7	 1	214.493	0.525
 9	 7	 2	213.664	1.265
 9	 7	 3	212.601	1.172
 9	 7	 4	211.645	1.169
 9	 7	 5	210.440	1.181
 9	 7	 6	209.598	1.150
 9	 7	 7	208.435	1.162
10	 0	 0	212.877	0.391
10	 0	 1	211.740	0.400
10	 0	 2	210.672	0.409
10	 0	 3	209.591	0.667
10	 0	 4	208.551	0.675
10	 0	 5	207.491	0.643
10	 0	 6	206.577	0.675
10	 0	 7	205.389	0.635
10	 1	 0	212.799	0.368
10	 1	 1	211.720	0.361
10	 1	 2	210.663	0.807
10	 1	 3	209.537	0.739
10	 1	 4	208.527	0.742
10	 1	 5	207.433	0.780
10	 1	 6	206.425	0.719
10	 1	 7	205.417	0.786
10	 2	 0	212.789	0.380
10	 2	 1	211.730	0.379
10	 2	 2	210.679	0.922
10	 2	 3	209.602	0.789
10	 2	 4	208.467	0.851
10	 2	 5	207.461	0.829
10	 2	 6	206.435	0.927
10	 2	 7	205.334	0.927
10	 3	 0	212.795	0.375
10	 3	 1	211.722	0.378
10	 3	 2	210.629	0.983
10	 3	 3	209.550	0.993
10	 3	 4	208.508	0.925
10	 3	 5	207.377	1.047
10	 3	 6	206.351	1.016
10	 3	 7	205.404	1.083
10	 4	 0	212.779	0.368
10	 4	 1	211.712	0.387
10	 4	 2	210.650	1.063
10	 4	 3	209.570	1.040
10	 4	 4	208.493	0.995
10	 4	 5	207.400	1.011
10	 4	 6	206.428	1.122
10	 4	 7	205.313	1.109
10	 5	 0	212.812	0.392
10	 5	 1	211.750	0.442
10	 5	 2	210.635	1.156
10	 5	 3	209.558	1.137
10	 5	 4	208.437	1.100
10	 5	 5	207.463	1.016
10	 5	 6	206.326	1.132
10	 5	 7	205.435	1.121
10	 6	 0	212.865	0.424
10	 6	 1	211.733	0.433
10	 6	 2	210.642	1.098
10	 6	 3	209.538	1.083
10	 6	 4	208.446	1.113
10	 6	 5	207.401	1.092
10	 6	 6	206.351	1.106
10	 6	 7	205.327	1.164
10	 7	 0	212.840	0.480
10	 7	 1	211.733	0.458
10	 7	 2	210.667	1.048
10	 7	 3	209.543	1.091
10	 7	 4	208.486	1.070
10	 7	 5	207.446	0.994
10	 7	 6	206.445	1.098
10	 7	 7	205.348	1.096
11	 0	 0	226.203	0.358
11	 0	 1	225.060	0.386
11	 0	 2	224.014	0.377
11	 0	 3	222.892	0.803
11	 0	 4	221.969	0.830
11	 0	 5	220.722	0.701
11	 0	 6	219.646	0.649
11	 0	 7	218.554	0.564
11	 1	 0	226.180	0.363
11	 1	 1	225.013	0.357
11	 1	 2	224.017	0.914
11	 1	 3	222.901	0.830
11	 1	 4	221.881	0.884
11	 1	 5	220.701	0.768
11	 1	 6	219.587	0.594
11	 1	 7	218.528	0.614
11	 2	 0	226.180	0.353
11	 2	 1	225.037	0.348
11	 2	 2	223.967	0.986
11	 2	 3	222.830	0.874
11	 2	 4	221.921	0.905
11	 2	 5	220.622	0.803
11	 2	 6	219.525	0.683
11	 2	 7	218.481	0.757
11	 3	 0	226.142	0.356
11	 3	 1	225.062	0.368
11	 3	 2	223.860	1.023
11	 3	 3	222.796	0.976
11	 3	 4	221.803	0.983
11	 3	 5	220.704	1.007
11	 3	 6	219.554	0.728
11	 3	 7	218.558	0.848
11	 4	 0	226.153	0.396
11	 4	 1	225.036	0.363
11	 4	 2	223.932	1.067
11	 4	 3	222.839	1.084
11	 4	 4	221.831	1.040
11	 4	 5	220.598	0.950
11	 4	 6	219.495	0.769
11	 4	 7	218.410	0.921
11	 5	 0	226.158	0.406
11	 5	 1	225.012	0.357
11	 5	 2	223.952	1.146
11	 5	 3	222.801	1.108
11	 5	 4	221.826	1.077
11	 5	 5	220.622	0.873
11	 5	 6	219.535	0.799
11	 5	 7	218.424	0.895
11	 6	 0	226.165	0.446
11	 6	 1	224.955	0.409
11	 6	 2	224.025	1.025
11	 6	 3	222.832	0.995
11	 6	 4	221.828	1.016
11	 6	 5	220.699	0.992
11	 6	 6	219.578	0.984
11	 6	 7	218.474	0.788
11	 7	 0	226.125	0.427
11	 7	 1	225.038	0.449
11	 7	 2	224.003	1.034
11	 7	 3	222.837	0.963
11	 7	 4	221.863	0.987
11	 7	 5	220.680	0.980
11	 7	 6	219.572	0.856
11	 7	 7	218.506	0.778
12	 0	 0	223.526	0.347
12	 0	 1	222.434	0.374
12	 0	 2	221.422	0.364
12	 0	 3	220.342	0.643
12	 0	 4	219.284	0.605
12	 0	 5	218.314	0.600
12	 0	 6	217.315	0.615
12	 0	 7	216.230	0.610
12	 1	 0	223.490	0.312
12	 1	 1	222.398	0.320
12	 1	 2	221.432	0.652
12	 1	 3	220.358	0.647
12	 1	 4	219.319	0.614
12	 1	 5	218.308	0.630
12	 1	 6	217.327	0.647
12	 1	 7	216.275	0.721
12	 2	 0	223.536	0.330
12	 2	 1	222.412	0.320
12	 2	 2	221.435	0.713
12	 2	 3	220.328	0.757
12	 2	 4	219.360	0.760
12	 2	 5	218.242	0.765
12	 2	 6	217.290	0.703
12	 2	 7	216.221	0.748
12	 3	 0	223.507	0.361
12	 3	 1	222.375	0.333
12	 3	 2	221.350	0.790
12	 3	 3	220.303	0.833
12	 3	 4	219.300	0.753
12	 3	 5	218.285	0.810
12	 3	 6	217.306	0.835
12	 3	 7	216.280	0.801
12	 4	 0	223.495	0.358
12	 4	 1	222.334	0.370
12	 4	 2	221.387	0.864
12	 4	 3	220.295	0.779
12	 4	 4	219.356	0.806
12	 4	 5	218.252	0.829
12	 4	 6	217.321	0.818
12	 4	 7	216.189	0.910
12	 5	 0	223.473	0.387
12	 5	 1	222.354	0.398
12	 5	 2	221.392	0.937
12	 5	 3	220.262	0.914
12	 5	 4	219.316	0.839
12	 5	 5	218.197	0.873
12	 5	 6	217.298	0.823
12	 5	 7	216.210	0.943
12	 6	 0	223.456	0.434
12	 6	 1	222.347	0.440
12	 6	 2	221.424	0.911
12	 6	 3	220.286	0.797
12	 6	 4	219.309	0.832
12	 6	 5	218.187	0.874
12	 6	 6	217.200	0.868
12	 6	 7	216.236	0.907
12	 7	 0	223.448	0.476
12	 7	 1	222.393	0.434
12	 7	 2	221.406	0.809
12	 7	 3	220.218	0.864
12	 7	 4	219.312	0.822
