ch	pt	mean	 std	median	outliers	mean_w/o_out	 std_w/o_out	    samples	 #97	 #98	 #99	#100	#101	#102	#103	#104	#105	#106	#107	#108	#109	#110	#111	#112	#113	#114	#115	#116	#117	#118	#119	#120	#121	#122	#123	#124	#125	#126	#127	#128	#129	#130	#131	#132	#133	#134	#135	#136	#137	#138	#139	#140	#141	#142	#143	#144	#145	#146	#147	#148	#149	#150	#151	#152	#153	#154	#155	#156	#157	#158	#159	#160	#161	#162	#163	#164	#165	#166	#167	#168	#169
 4	 7	 112.63	   1.50	 113.0	   3	 112.63	  1.48	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   2	  28	  67	  91	 258	 268	 214	  43	  26	   2	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 0	 110.42	   2.05	 110.0	  23	 110.33	  1.90	1000   0	   0	   0	   0	   0	   0	   0	   1	   2	  19	  52	  78	 206	 193	 122	 167	  96	  44	  12	   6	   1	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 1	 110.37	   1.82	 110.0	   8	 110.34	  1.77	1000   0	   0	   0	   0	   0	   0	   0	   0	   1	  15	  34	  75	 214	 238	 120	 177	  84	  35	   3	   4	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 2	 110.71	   1.75	 111.0	   6	 110.73	  1.72	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   5	  22	  58	 185	 224	 146	 192	 116	  43	   8	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 3	 110.50	   1.70	 110.0	   8	 110.46	  1.65	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   4	  31	  58	 211	 238	 157	 179	  82	  32	   6	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 4	 110.48	   1.69	 110.0	   6	 110.47	  1.65	1000   0	   0	   0	   0	   0	   0	   0	   0	   2	   6	  30	  59	 209	 229	 154	 195	  86	  26	   3	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 5	 110.59	   1.61	 110.0	   3	 110.58	  1.59	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   4	  21	  44	 199	 250	 166	 191	  93	  29	   2	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 6	 110.50	   1.63	 110.0	   6	 110.47	  1.59	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   3	  17	  59	 211	 274	 144	 168	  89	  29	   4	   1	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 5	 7	 110.51	   1.61	 110.0	   2	 110.50	  1.59	1000   0	   0	   0	   0	   0	   0	   0	   0	   0	   5	  19	  58	 190	 282	 145	 193	  75	  31	   0	   2	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
 6	 0	 104.54	   2.10	 105.0	  30	 104.62	  1.92	1000   0	   4	   5	  14	  49	 122	  84	 213	 167	 192	  75	  44	  24	   6	   0	   1	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
